Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37,Var38,Var39,Var40,Var41,Var42,Var43,Var44,Var45,Var46,Var47,Var48,Var49,Var50,Var51,Var52,Var53,Var54,Var55,Var56,Var57,Var58,Var59,Var60
226498164.591936,245002000.583055,540155578.543402,1019257138.1467,370289964.183628,669396494.710656,601405045.243914,515727975.912881,888965123.873215,460286495.976998,1861718130.41742,943611591.02294,1166013254.55605,687565368.841643,305735464.116273,153296618.750915,1402551199.82379,342105218.858431,686399549.001725,679897369.952537,313481036.367889,535738556.889471,1068936797.70263,NaN,481457890.192465,463868394.396435,307062661.059273,258768422.519638,562221584.204512,372444225.017099,380678105.386484,611995853.054291,406563732.337972,809316511.26537,192363072.95221,NaN,308509504.622122,327907583.691495,247146409.00748,307073712.972795,231201541.481729,553283269.084096,146695310.058653,324908263.710458,529438821.87448,477611991.403243,409409668.123934,299077807.721779,469701563.662876,476930907.00377,421737216.36387,325080499.44519,415969941.558656,687348522.18031,145058217.128058,943717811.375662,287764555.202812,1211912353.58521,215370499.265795,748112197.077368
503210.212011413,-3023444.3248542,-8138812.32042895,14057956.4655011,789181.013138939,-4447103.9332266,-1592588.04199535,-4968562.60848159,8110389.94534942,-1610131.21368019,1751666.76459311,-379593.80608863,10661226.8478848,-1310659.31054304,1561552.9113744,1968512.30442924,-1055577.15754899,-3257625.58475676,-15982765.6759377,10788944.9974711,748267.75879315,502280.603896001,-1978376.11469893,NaN,613641.475261649,2379966.39150103,5467891.78655894,7193868.10274737,-4354925.9714035,260148.001206813,1784165.98434675,-1925408.40617472,-5367005.39176438,-601119.172040661,3735736.40908531,NaN,409895.120674283,-1085721.88343629,-2951023.06879467,1619761.69793781,958610.314871809,6047071.44713484,366959.822462062,747723.775072227,-2471616.86698987,456870.996753481,-631502.793322272,-1086451.35954061,1787934.76696034,2056583.13793866,4602273.84843384,3464853.54790927,4257167.63652133,9683195.44521112,451337.471867578,7550543.89955247,1151519.62886664,12851975.2142946,1157621.35706645,-3801502.84818877
11950251.8797307,-151635371.667604,-212951811.675896,1011854894.35748,181574726.97644,392147953.493206,-416931069.666192,-199581634.478396,-56986709.0930544,-197923859.364707,978121536.261242,80990649.7501451,-948985638.287521,553304174.448282,-129023223.981056,-17667553.5512249,-217365059.372817,227653939.005844,463754524.823079,27785753.688799,-417583976.559717,-115998296.690037,-19075047.7400856,NaN,-404574589.684654,1781998.93301271,39207546.2097931,-19614864.7254321,-471114718.252022,143258776.551564,-250040972.766956,-862422743.124171,-266044793.277984,-142649915.41511,-56880256.4037946,NaN,280566461.192557,83326008.7336953,4964685.83389243,215916686.809552,-6392178.19225853,-127606255.268624,92511458.5961154,-63480862.3314766,477755780.141287,-186484249.436378,309017508.390315,167517055.921057,-125932092.904731,-20504329.2045306,-348972326.421549,219726699.293163,320579997.687412,-879108085.60017,-42848467.9798686,508941596.003037,-44103264.0551068,650764329.71528,-108807402.514964,-163367931.941428
681407.172101767,-814096.566404344,-1349421.54857971,-7656175.69725953,2750479.15327874,3511111.74281383,6569714.60481181,3945135.26444915,-8403.9755961338,469299.029938201,-1227650.13306765,1234780.2157828,-1213934.03529225,1431838.22129522,714089.620738333,658968.438599548,-2295803.18629186,142176.742340116,1423663.77255275,2405562.06328828,175.590079243525,-2187184.73023626,-4059906.42971429,NaN,-9506017.53061327,933724.725504556,610421.791571482,-3270092.89093183,9271690.8128528,3016894.11824275,3193358.29553632,9134686.25922925,-1289226.11747664,5977182.54475886,1771601.4699511,NaN,-2479560.24549922,-406227.048647953,-2014145.72146196,625917.33002592,671045.603040262,-605113.787032188,-896867.266332929,-683456.179607321,-2652465.30354303,-890170.945942064,1466932.39553688,837469.603385471,-1168829.32244154,-1321075.57251239,-26929.8271116264,764440.464946599,1400421.46990883,-2037804.1698399,518251.879062325,2330290.42103049,808537.562704423,-10742959.3827888,-477679.205554225,424208.829412932
11874139.4833381,-7282418.94762003,111623841.880061,-87934422.1750986,136697195.166491,-108968681.334864,118152838.312413,45119498.6011532,-9273067.79742836,-103558933.522756,-540052796.026871,-19056240.2134752,-79470053.0586465,-10466334.0403253,-19882997.777216,6969276.74585218,-27450500.9942212,34905478.1012985,88983080.2922422,16459947.54879,107660353.66806,16444975.2859944,-180227590.978845,NaN,135909321.554627,97327318.7215282,28021698.1288535,3334084.94506494,36706028.0069624,-4956412.49548814,-96498468.6188853,141013323.044339,-64343963.5008903,-165798341.324548,93948085.2174122,NaN,-18010626.9107896,-40725380.4316014,70141598.7835959,74870579.6866266,69816988.441759,15489072.0449337,-22492477.1982536,-91268017.7966215,36889180.3550207,111433624.716699,-46873618.5586276,66497774.4625495,26371623.3234628,-88822241.8623026,-44814883.2841245,-41263435.641564,31634183.002828,171294934.261746,4052513.023739,223240511.393766,65482554.8193016,-166951205.143014,53345276.6487627,14819274.3162571
3184348.80738304,177201236.318124,5569537.59942258,-84077851.5971178,112412443.590712,45975269.7923806,219215958.704268,129431950.519517,94489367.3208994,-32410985.0469183,-68721002.2342783,54254956.0336826,70393149.5704596,102940889.457506,94490529.5200451,-46120451.48158,24291079.6308372,-197529704.235278,-93592515.9443431,107759298.573726,73898555.6435166,-168591111.140307,116364873.046839,NaN,75241904.7724666,-26372985.5693256,166310712.260846,121055639.242844,222155940.58907,274793028.941211,20494281.5858144,475411683.865209,228915148.147276,-81846629.5395178,-44878731.6572808,NaN,85254624.8758177,-19954891.7718648,-27459864.4646933,1240779.80757649,8011364.93835388,-106271341.630786,7148462.21093105,108615902.52987,-75940623.4032793,23214370.1645794,-127236067.208952,-51298096.5989468,-87752451.4616467,-74770780.6815356,-91645213.3571127,-129478465.667999,81461903.4576387,-117796732.557761,106763975.334086,196004813.861497,101964472.965159,311960193.13733,-56455827.5385753,-185338351.229896
228276703.920903,217648776.607194,543300064.601336,-1056983386.13144,402921748.614357,656498152.976395,-656162964.059289,-543973016.98842,-912959455.977415,-493076774.386764,-1910675870.03913,-1006625799.95978,1068401892.71073,-738350530.930791,313774538.062662,162052189.387615,-1367712390.07364,-298684825.787099,-639508114.071902,740128148.033361,327154838.871869,612986956.447294,1162237645.84454,NaN,450581303.411215,488317405.396103,337825200.917709,262120544.360997,569500335.657757,389810067.30737,343516726.772952,619665438.255695,426461549.67106,877666085.36233,206059135.295697,NaN,-326861222.30809,-188215757.756826,248179877.956144,282364434.148503,223207828.773863,538758273.281205,151997603.527445,318451589.056143,535438985.476777,456000240.342598,447120000.849514,-323172522.011004,474821677.234728,-505439550.494573,430613752.733578,314597927.253262,-380859146.785885,-714551096.247542,132562795.15599,-980842180.894545,278478461.602598,1109274875.91953,227937149.787855,824253467.922771
-249077214.525027,230946011.232114,-635202512.063206,780998483.817702,-413763877.299214,571476107.915784,-72356408.425132,351374753.499506,945904075.733934,616997638.438927,2299254878.16742,754002700.381058,-830326979.403483,1001258021.36004,-312621870.582014,282693830.301608,1117679602.35746,-300846535.567803,-564530090.997877,-757176016.344576,203179109.599454,548716550.174249,-1307334333.94508,NaN,-491911148.280859,-303354477.345659,-262376152.354963,344759932.309934,166611375.00617,608777412.610218,320378070.513528,993359602.222105,-408874120.811818,-757464983.365545,-50037710.12307,NaN,-257132644.925623,-259061886.519526,-281580518.911848,213105391.927176,-100546686.173668,792203321.016776,161348048.943498,-100917530.189113,366586541.362455,461349063.293779,337910395.736966,-366283122.909091,-35113038.5192814,332540295.429787,444685793.840758,74438508.2488906,391254869.835803,-1096436630.16405,121622162.162385,-1046253858.67446,298857998.963084,-273211445.400463,-165691481.043037,-850798045.126024
102607722.287216,-24584264.2560699,-78647961.0078394,-63371807.8012162,-99745504.5970891,-83228764.7767607,-22074624.0104051,-70144378.1362187,203177884.023182,69911048.1674839,-12715325.1754794,67875649.8802033,-55494187.1703251,-40738706.3918134,-64642796.0584446,-107938569.423928,54234488.0592511,-4964778.15265555,-49506984.7609015,-154537686.006329,56552833.1626921,14813057.0723498,-195599853.781957,NaN,-1478555.69162754,32070715.9537503,-15582708.2857495,-52459712.1734912,-81115747.2935156,-93373687.1331618,-29089224.6618388,57614306.4254214,33638717.7487569,-19846250.0535336,-668557.458274067,NaN,99939902.9070447,43812056.595665,92942477.4428739,-27725441.5654505,-41634393.5512819,148596875.613711,21073040.4313372,-10874443.0885861,-79896067.6217479,-110153207.541787,44787415.9553193,14057173.0732828,2825355.27259296,64996924.8123925,101305336.488583,41062095.4362283,13925204.9965724,172806482.449977,30756812.4136355,-88732099.0362263,-60757489.5392219,58863006.8330351,-103705112.485129,97224494.2910795
-26170064.5505555,107851428.794754,-228193753.350259,-355462460.131804,24925108.3537142,-177963302.025642,-77454083.3602261,-101110481.032537,151315595.375303,107352585.916369,-364424565.774879,110195836.016272,-292178561.030457,-184029554.260495,-80675291.0062753,-17016283.9681143,262104523.576767,-141463348.744465,138440209.824434,112860093.329767,108086926.034062,-89292222.9426335,298850072.997054,NaN,141834556.430411,-70101446.1894026,138656659.060093,115305274.15429,121948380.391984,-66342351.7218049,-99281626.3754779,-246950969.724876,58822627.3968706,-210513366.310603,46253549.1689596,NaN,-47344425.6151404,77562525.1038635,51983905.2212867,-69700468.3265178,49899595.9745985,-222851936.592631,74496325.3517749,76829594.4768414,196974230.604783,144636013.192359,-74194063.4182578,-71605188.7365535,146749263.885675,-50841259.0164722,-92042376.2257822,36473940.8524466,-135085655.97294,214857751.716279,-6591616.4111858,231895276.357924,-138809005.044961,-599647468.92556,45958726.3819472,125177544.995908
