Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37,Var38,Var39,Var40,Var41,Var42,Var43,Var44,Var45,Var46,Var47,Var48,Var49,Var50,Var51,Var52,Var53,Var54,Var55,Var56,Var57,Var58,Var59,Var60
374241627.324243,1697245862.7436,940346081.940668,1133739071.24871,475428865.488742,686270243.687598,678141812.35402,93628662.1549999,866753740.943068,366838040.031088,1765950594.93558,1184404779.419,2024817428.53672,687762849.475914,363952625.298633,446771601.531123,1185646111.36111,1267315492.90502,1142825217.72681,924186290.955669,468236590.897549,487687981.651214,1523903617.59879,464040248.906463,474662234.898798,201157984.230731,358126756.128257,504577521.094007,390504531.961551,429845657.927922,216405017.225173,558384505.524875,416985281.089993,1137314272.78557,184285919.017298,167121450.384741,340093868.158523,289621327.181078,246768308.496074,294766411.928216,259242194.416735,493819073.468052,195138162.269418,358314086.187111,453538916.476234,536968248.604931,1140571760.71748,321623779.523487,482010985.714602,321692314.753271,572877402.605692,319257387.782097,625258223.870106,517497547.856598,547331006.102185,1046784953.88113,294471558.951815,1320504241.35761,365818667.545908,814981407.114561
-4957223.57221763,404007.4965537,10057787.934153,13642700.348885,-3198122.80650054,1420165.32207673,3565516.71310699,55340.3439152339,1824559.93862508,-7400725.55423573,-10539523.7137516,-21186988.0799716,-9809539.0378461,-2175040.5541498,5383640.23352884,-2731748.71996653,2513622.73712967,9730053.72940678,-692287.221589967,14961302.1239769,1020414.81514752,660667.232685009,-12226561.0257029,-443504.628732882,-8912388.42931062,-94249.0417982763,-4027508.86259612,-3573264.991473,-3725937.41718192,-3487535.02285674,3092192.57397238,2287552.90797504,2710215.54617846,-260997.620036284,-3005331.91773278,1714791.20561349,1638145.17100174,-1342201.79759577,2288078.06190805,-2938289.34869303,-327537.18426797,1129737.19449535,670397.225887926,-945558.700713639,-876767.048018616,1393481.25805132,-3906175.44721471,223298.988770452,-6385813.01320824,3397267.41825373,3192620.03076017,-285378.869810845,-93341.9176470684,-485749.372144477,-1253742.9790193,-24642241.2065678,-2124891.43029439,14642916.0658078,34063.3477300169,-821560.419879889
-123742958.112342,-473453464.610126,642794509.445135,260553110.269098,188754927.395597,-462094332.920868,427660040.450596,-71009929.5029676,-667722815.360297,-308395299.422621,-1120328837.07612,-612360129.547207,239989292.070492,689843256.725119,392088732.223117,29243957.1147883,-105971700.379889,-706062235.475448,-637131932.767503,355338702.628624,259382864.11389,159083526.041375,1026238551.79089,41059224.0981928,-167960088.26066,-7375951.75239949,-66620784.6213258,-137242952.905067,1570575.2784552,123268016.388681,113845977.904005,-145206837.20173,-46231463.0839354,1088835253.93668,-132843908.111447,176534702.035472,-182792035.50388,-231424551.045511,37922868.9080712,-204174306.353457,52235444.2629484,-208249795.539787,126720127.822361,60525397.2644021,168300487.733282,-244887853.022948,154640261.988717,-73039079.0291311,-412280787.133013,53895327.7451616,-448837267.385262,12529733.6906949,140530622.693378,-516605075.907431,-245914970.272572,-411621760.275991,-312340124.650111,310403913.754993,53076931.8691236,-406156182.759318
1545102.82536221,3605031.71788911,-2358064.37563618,-21692089.5795626,2686124.98814945,1996098.59549885,-172719.737102193,-6667.0124009675,-1519676.865235,953125.773342799,4477887.03921071,64647.4835901036,-8373306.58417223,-1547651.12378081,-743995.615191779,-113345.707281161,-4974098.41638604,-415768.992307612,9871382.7786652,-10136445.0637538,-4336899.25866766,-3784563.33279026,-13255341.7263672,-1332905.28678768,-1713247.64639565,156257.881167334,-1029584.78652255,-2585189.40602975,-3586658.41919956,2102020.2757782,533687.420500975,851314.864208606,-1258705.01944329,10208415.8694711,-381685.955987824,1647404.34965231,-87003.3299959756,-144899.512760262,1202798.65316848,1264699.87887987,2652265.07932258,-146599.554755398,356928.429808352,1714974.65174481,2236301.14182775,1978877.92440867,-5849587.37744775,1345355.19871742,1633313.50269507,445686.226950516,794286.721484342,-1212913.13172206,-3922953.34755598,-115984.953673982,932100.332670983,-15638122.6288519,-1152959.45276118,-2931835.75549797,-1489550.6075011,-6636494.50683572
-10381355.8569807,380260985.450497,-194904318.854148,352854488.558333,-199832740.368402,-55435145.2189949,-97307353.5441713,-47113676.9050181,58024443.6817589,-88352833.9191749,315956391.096435,299153612.41568,-404162872.742895,-18339439.5885364,-28640002.3420671,-62159400.4300982,-252032064.368709,-139039155.777223,435589073.433864,-48820873.1979741,11843087.028782,-54707268.9540623,-155612613.802969,27932453.9290405,183598814.341877,-64509987.0880074,-31057761.5847716,85346060.5114755,16653956.6686402,-56402408.408555,-65583660.5525453,-268158586.968906,17626576.4987915,-430172790.165168,-2345717.92136342,-3506156.01875353,-76641858.5488954,50631003.664669,-6216233.40002543,-74362248.82203,92665573.8006289,215458720.036088,-105763.580564832,57813361.1569104,102402248.716675,-140417166.235171,176796932.921061,30505044.6752934,138186751.910856,103359690.646342,-187586883.861409,102332323.629825,-199166916.248037,113646405.672504,-47132820.6926622,377782122.78631,5393391.67848395,-232024804.289592,120803259.483168,-156062641.120317
43708744.2634338,-104143719.647442,-170429115.316865,-263536768.860656,-88842364.1841683,-31998448.7539514,-44827487.042503,11589597.4639853,-90708787.6517672,-55195618.4478563,-172341413.532001,12471228.5447626,-48375678.1341371,-306331027.468235,111518287.41073,-82729662.812863,70740314.6619063,13014036.9400297,-55674902.9342389,-20469247.8082496,-176989460.336375,146102366.289647,-83680674.1653785,93871602.6089035,106846632.176644,61932414.7917994,265229774.399623,69571018.1214517,-1016950.51092368,-192062082.952623,-68079462.9043875,63800174.892173,26921732.4791812,-242883401.902904,-2808986.42818837,-29194094.4802231,-189388085.137577,57318682.8478552,-27233096.1132749,-27688112.226468,94378028.7390929,-281145846.059059,-69346025.7687264,-93598326.152717,-273175780.106367,-76205215.1606607,168571484.548534,-71341072.1242866,97487341.2806931,18294674.5647442,-65274809.2273914,83154640.3359084,-7352470.9678848,-53116288.2430558,-93244258.3509283,-189260450.571761,-191892719.279643,315368814.350416,115668807.40261,-78719748.7736129
-406366057.19371,-1729684619.75852,1003573860.43755,1127094435.45747,-485443926.605538,702621932.431644,-735040923.418896,81032246.3534587,914237587.407688,-127842784.391226,1736947782.79126,1244414824.17826,-2074277759.78914,-733154000.236023,386816068.472427,-455320337.028391,-1226241939.8844,-1065650281.76184,1178129660.00935,-891001552.957253,488082601.273281,-506809360.366846,1557854338.2357,429139050.859871,-470452656.20764,-226163012.852747,368918402.530218,522324380.523026,405196595.867307,251356993.810415,233706272.064568,-608793329.926354,-442630607.593799,-1156545068.9261,210472865.740544,-55150213.8639655,-340412474.92775,324001688.339285,235507935.62639,293499267.171643,274210413.565103,-153443969.405926,23630137.4049305,342494392.754701,-483725173.575841,557393994.530712,1232542432.33407,336475702.633992,331868027.654759,350654748.452775,-639198557.071525,-357210586.478449,-584625593.602375,-546292506.254932,512446297.385242,-1002370673.50463,-149020498.531809,-1359459886.58755,390653252.332868,840905712.429257
398293237.938864,1700288797.19937,658572832.14172,-428616485.513604,-634171079.20429,-404670201.678322,-56242987.90201,154735836.062662,692762219.113017,277900229.803127,-1927674627.5284,643171371.710886,-1979237407.10459,-950539227.29042,564520129.277023,-584234619.383147,-251329663.826488,-379890735.697637,-652673512.266494,-712104860.605431,-372169127.176003,-438105158.819879,-1998057387.62653,336632653.070293,526649109.658052,414335647.390093,561626937.652079,-363035381.854598,574753235.244994,124334969.759375,197912172.204205,735818615.293391,-565158579.654005,1208777281.31814,186024592.978645,161638544.422128,443120114.478553,-383234394.551435,282161784.632403,-177554971.948396,-340761388.946245,107119481.153707,48660924.3595805,-304264143.174425,705210582.901618,502766741.446822,1641780460.83673,426934130.971284,326725467.944886,423506931.81328,118978824.744744,369276783.408955,-151363152.854312,377694510.153904,353504223.7298,-910245916.726382,-420123591.677154,-2108711750.6944,389063932.243784,689587855.109767
-43025140.6696949,5148736.68642281,112658758.071395,99650737.602784,-20649539.2932163,-5288959.68816796,-106617400.512162,-25910201.1051919,-16985141.1988291,-18139354.2227984,101650745.247022,-87202893.2237528,797981914.629998,34189218.3904389,117914299.737227,-42700627.7466226,115946402.899726,-56039765.7847613,-65810308.6483369,-202243166.089044,-76139606.955772,22994044.5735813,-315991301.160734,-34642466.9358568,71646174.9880072,-86563889.2512416,-8524077.60162509,-45276745.9136669,151919144.186063,-16533501.0079204,-29831826.8089962,-1834223.57120019,77956419.8292967,-57276556.093163,-44398889.1179642,-66655504.5416099,67111622.2635179,51909587.5647443,-41885255.5006159,-5982389.7910947,-45698466.759958,-39091484.7666076,-34449608.9052786,-83733213.0596067,85787027.8867876,-13086568.9452157,408926331.424868,53601896.7766917,2032610.92772057,-13144189.6095951,52590120.3093459,-44667639.6156942,39903396.4106245,23228308.6797177,-35550036.3288429,-39938929.6198385,52134365.0479893,-447504273.437997,13783339.5484981,-131110294.601763
-69127360.0749456,-446569091.862484,-120355233.479185,251027279.337763,118122029.141842,-158821303.204007,-152199606.687667,50651650.5723698,-197033905.134631,-150198824.349254,429239699.148111,256781024.542436,-664063101.579982,-165302193.02804,38326852.7317772,-71664345.6532054,282800906.19708,-288975665.197071,203622999.327948,-224497360.518709,-102970114.631252,135063306.971962,463866802.848071,135143213.258444,112137970.049296,24262510.9702772,187130316.584241,113656442.069867,21295964.2969333,-180178107.677277,-93378864.6035344,198177619.178141,-79467875.0832856,310920292.305664,-54814623.6175884,-50914764.9788784,-22429032.6293477,-77012650.2531669,24489914.0917112,64142298.586948,44808410.3685748,-188593914.29047,-78886455.6365908,106658533.502548,-73118104.0223215,-151413714.551894,-347604640.205047,72968254.6001121,-191235971.080457,-82538583.4602039,-127620724.473032,-49041484.4948715,-171124440.096639,185952538.965121,99530674.2380177,-114496945.320135,-115254503.82124,-270047060.367775,-122920308.348843,127120598.089663
