 Subject_1, Subject_2, Subject_3, Subject_4, Subject_5, Subject_6, Subject_7, Subject_8, Subject_9,Subject_10,Subject_11,Subject_12,Subject_13,Subject_14,Subject_15,Subject_16,Subject_17,Subject_18,Subject_19,Subject_20,Subject_21,Subject_22,Subject_23,Subject_24,Subject_25,Subject_26,Subject_27,Subject_28,Subject_29,Subject_30,Subject_31,Subject_32,Subject_33,Subject_34,Subject_35,Subject_36,Subject_37,Subject_38,Subject_39,Subject_40,Subject_41,Subject_42,Subject_43,Subject_44,Subject_45,Subject_46,Subject_47,Subject_48,Subject_49,Subject_50,Subject_51,Subject_52,Subject_53,Subject_54,Subject_55,Subject_56,Subject_57
0.7679592,0.8256639,0.8107643,0.6686702,0.7902143,0.7315106,0.7478597,0.5431447,0.641897,0.7575467,0.7293419,0.7456366,0.8941885,0.8205518,0.7202713,0.7461382,0.8836677,0.7368271,0.6837626,0.9185501,0.6313338,0.862837,0.7315265,0.7983759,0.8431685,0.7857617,0.6435674,0.8416665,0.814688,0.9851244,0.5098756,0.8090749,0.7386757,0.7799845,0.7927488,0.7015508,0.7877529,0.743205,0.5934021,0.330165,0.5799718,0.7600788,0.7541771,0.7998899,0.8753965,0.8692037,0.7305282,0.7942253,0.7143834,0.7063345,0.6374097,0.6829917,0.660264,0.7170994,0.7757301,0.8375977,0.715638
0.7455994,0.8645051,0.7684736,0.7693782,0.8052329,0.7268524,0.7080806,0.6995588,0.8045333,0.7941514,0.8107795,0.790677,0.8871588,0.7920341,0.8685055,0.6311182,0.852218,0.7295479,0.6679892,0.8228485,0.7387244,0.7516313,0.8058199,0.7385432,0.701754,0.6380268,0.867343,0.7549847,0.5617165,0.6850157,0.9323768,0.6808643,0.7507612,0.6054139,0.6727812,0.8002502,0.7837144,0.7114705,0.6400114,0.5374066,0.5466003,0.6167975,0.7670501,0.8083009,0.8057317,0.9084302,0.8315759,0.8246229,0.6494637,0.7749704,0.784723,0.6248168,0.5942866,0.8643019,0.785058,0.8081791,0.7460958
0.5680122,0.6861653,0.5504152,0.5795903,0.5745735,0.5942175,0.5927997,0.5638443,0.5464914,0.5130399,0.7312874,0.6029568,0.8085642,0.6564758,0.7283331,0.5297018,0.7862708,0.5900547,0.5891027,0.7738318,0.5323114,0.6398129,0.6688517,0.6027821,0.6211311,0.4505307,0.5311477,0.7162074,0.4125664,0.6641752,0.575568,0.7434086,0.6763031,0.6099994,0.586866,0.6452942,0.6101816,0.6110318,0.3882708,0.3591846,0.4400017,0.6663857,0.7224531,0.520779,0.6961077,0.8275993,0.6284762,0.7163057,0.5760784,0.5767297,0.6659731,0.5291196,0.4345162,0.5715886,0.6260892,0.6970451,0.5838842
0.3176444,0.345008,0.2302149,0.2510995,0.4720783,0.4402282,0.4510337,0.4807931,0.436087,0.2949467,0.2245346,0.3623939,0.6503778,0.4056116,0.3852069,0.2649105,0.4776247,0.2855163,0.2920184,0.7479815,0.390178,0.5153649,0.4655876,0.4341142,0.5514516,0.7500701,0.3206607,0.6631852,0.385102,0.8017256,0.2396497,0.6895631,0.3408134,0.5419289,0.6292367,0.3071589,0.479515,0.2957562,0.3413531,0.1918163,0.2824941,0.5057362,0.1970318,0.3098969,0.5592812,0.6542655,0.3636398,0.3900527,0.3353685,0.4867222,0.2910843,0.333842,0.2865559,0.3683086,0.4177569,0.4978844,0.3412217
0.6074499,0.6357783,0.4805007,0.539075,0.7982513,0.6862146,0.6869184,0.3313552,0.5821441,0.5614037,0.5358008,0.6714478,0.7872542,0.6560108,0.6907994,0.5859812,0.6134317,0.5405799,0.5729506,0.8437011,0.5350606,0.6784041,0.8230064,0.6748604,0.8331109,0.7306027,0.6918722,0.8201294,0.6126616,0.8000213,0.6161788,0.8855528,0.6040685,0.7045881,0.7707309,0.6480114,0.6667781,0.5141997,0.6113644,0.6752253,0.5326459,0.5802428,0.4439591,0.5485928,0.77093,0.7800959,0.6235997,0.6437914,0.6171347,0.8409237,0.5763845,0.4982309,0.5776923,0.7026929,0.7141452,0.6894764,0.6022204
0.1572215,0.2392857,0.08698768,0.1446101,0.2630711,0.3064557,0.2479936,0.7399411,0.2753228,0.1318385,0.1891355,0.2323645,0.5283926,0.2602787,0.3143569,0.1242103,0.3016503,0.1668996,0.1722597,0.4913394,0.1982851,0.2625957,0.4137828,0.2082879,0.3885566,0.7543901,0.1973087,0.4645176,0.1418234,0.8741712,0.2607739,0.554934,0.2223587,0.2965629,0.2983931,0.2024484,0.29687,0.1671759,0.1419002,0.1479414,0.08629939,0.2476998,0.1887587,0.09364732,0.3722113,0.592566,0.2118364,0.3002517,0.1994216,0.3474442,0.2098725,0.1607962,0.0885411,0.202912,0.2817288,0.3386048,0.1991677
0.3750789,0.4146141,0.3355173,0.284472,0.4714663,0.4447774,0.4752369,0.424245,0.4259819,0.4295889,0.2006491,0.3977068,0.6818714,0.4170191,0.4100252,0.2968347,0.5461212,0.3604524,0.3530546,0.7843899,0.4458088,0.599812,0.4675114,0.4705364,0.5837119,0.6956965,0.3995948,0.7063106,0.4471898,0.7473233,0.3130044,0.7357082,0.3701138,0.5160599,0.6439989,0.3385175,0.4718148,0.3128612,0.3440713,0.2340595,0.3667815,0.4642358,0.2564716,0.3404511,0.6728567,0.6808134,0.5013177,0.4113765,0.3740248,0.4588612,0.3434004,0.4251166,0.3509678,0.5650343,0.4084659,0.5727281,0.3993211
0.7133539,0.747798,0.6273296,0.6865503,0.8149935,0.7240857,0.763395,0.4182966,0.6498088,0.75807,0.5592538,0.7391844,0.8462615,0.716365,0.7535667,0.7039071,0.7505121,0.7226676,0.7269089,0.9005634,0.5709605,0.8001403,0.8406442,0.748526,0.7808891,0.8607705,0.8283988,0.9120392,0.7479444,0.7727995,0.616529,0.9362895,0.7253245,0.7534459,0.8473364,0.7950923,0.6690187,0.551608,0.6296542,0.8187742,0.6527247,0.738044,0.5588586,0.6591357,0.8897977,0.8277446,0.7713331,0.7017518,0.6889617,0.8593714,0.6823084,0.6177867,0.6816366,0.7825676,0.7337641,0.7827514,0.7389049
0.2467402,0.3308759,0.1703249,0.2226574,0.2939827,0.3808694,0.3253139,0.7908403,0.3165265,0.2774483,0.2271641,0.2882901,0.5955172,0.322083,0.3974684,0.1931176,0.4059804,0.2704161,0.2735745,0.5886406,0.2747874,0.3780802,0.4766595,0.2723402,0.6159715,0.3660527,0.3077696,0.6097355,0.2161243,0.6156183,0.3873001,0.6573132,0.313848,0.3731493,0.4520813,0.3209625,0.362393,0.2416319,0.1929025,0.2573585,0.1784065,0.3470387,0.2869998,0.1349937,0.5393107,0.6511803,0.4644556,0.3458088,0.2680157,0.3770104,0.2892689,0.2592497,0.1863854,0.4257785,0.3256821,0.4277579,0.287734
0.8376983,0.8884128,0.8227481,0.8164285,0.9483624,0.8462497,0.8702348,0.8360161,0.86102,0.799425,0.8371904,0.8826164,0.896764,0.8627334,0.827793,0.8333567,0.8654079,0.8108779,0.8166793,0.9278237,0.7673199,0.8724649,0.8635787,0.9055538,0.7807826,0.7335465,0.8350063,0.8680899,0.8251334,0.8442043,0.823462,0.9174668,0.8493421,0.7829018,0.7689322,0.7935519,0.7749445,0.7789564,0.7874563,0.8078635,0.8108334,0.7481539,0.8371654,0.8318837,0.8506383,0.8996567,0.6289752,0.8922611,0.8084957,0.888037,0.834325,0.7964606,0.7536727,0.8011736,0.8349492,0.8499442,0.8146579
0.5177431,0.5868075,0.5718935,0.3388931,0.6497162,0.5494944,0.5771337,0.2681946,0.5145711,0.6220756,0.3271728,0.5371538,0.7858048,0.6024547,0.4753844,0.3708491,0.6401329,0.4557189,0.4540818,0.8089074,0.5953596,0.7289169,0.5187246,0.6112747,0.5822215,0.2740212,0.4959157,0.6564533,0.4687897,0.4878159,0.6332222,0.7345144,0.4599406,0.551498,0.6341572,0.3331586,0.5119682,0.4476866,0.3561744,0.2796007,0.5690503,0.4791461,0.391187,0.4679466,0.6159912,0.7139351,0.6957189,0.5270312,0.4486544,0.5139065,0.5246001,0.502158,0.4121366,0.7022567,0.5223771,0.6733741,0.4882604
0.8029174,0.8474674,0.7248336,0.7501875,0.901036,0.7667762,0.8110824,0.4405033,0.7199836,0.9159995,0.7097713,0.8075302,0.9029559,0.8005458,0.7763799,0.7596378,0.8578622,0.8024896,0.800297,0.9159663,0.580686,0.8790602,0.8126193,0.8526136,0.7817584,0.1387259,0.7962595,0.8566581,0.776131,0.4799363,0.6550303,0.8038329,0.8143042,0.797794,0.7660978,0.751996,0.678987,0.6600441,0.5598477,0.7583496,0.7266036,0.8196133,0.6874545,0.7630284,0.7920136,0.8460612,0.7157065,0.7982818,0.7597545,0.7901632,0.7994908,0.6766994,0.7109742,0.7065439,0.7269387,0.8397583,0.7724037
0.4779764,0.5481564,0.4286344,0.3674468,0.5191033,0.586054,0.5532615,0.5330483,0.443695,0.4651047,0.4263467,0.493176,0.7337649,0.6523672,0.5399529,0.2902937,0.591024,0.4678152,0.4754112,0.7235832,0.4584216,0.5802609,0.6217305,0.5099882,0.6322576,0.6611926,0.4801188,0.6744992,0.2996019,0.7528711,0.7648487,0.7919139,0.509459,0.5496105,0.7334168,0.436505,0.4884333,0.5263947,0.2967091,0.3996712,0.3876586,0.5481634,0.5133088,0.3108299,0.644825,0.7125047,0.7364286,0.548767,0.4196376,0.5009623,0.5601737,0.4258171,0.3901588,0.7382303,0.5462262,0.5708018,0.4603939
