 Subject_1, Subject_2, Subject_3, Subject_4, Subject_5, Subject_6, Subject_7, Subject_8, Subject_9,Subject_10,Subject_11,Subject_12,Subject_13,Subject_14,Subject_15,Subject_16,Subject_17,Subject_18,Subject_19,Subject_20,Subject_21,Subject_22,Subject_23,Subject_24,Subject_25,Subject_26,Subject_27,Subject_28,Subject_29,Subject_30,Subject_31,Subject_32,Subject_33,Subject_34,Subject_35,Subject_36,Subject_37,Subject_38,Subject_39,Subject_40,Subject_41,Subject_42,Subject_43,Subject_44,Subject_45,Subject_46,Subject_47,Subject_48,Subject_49,Subject_50,Subject_51,Subject_52,Subject_53,Subject_54,Subject_55,Subject_56,Subject_57
0.005693811,0.00560958,0.02537763,0.01154564,0.01485513,0.006951822,0.01675305,0.01064551,0.01221518,0.00900548,0.006330558,0.01213186,0.007825178,0.01050906,0.008702008,0.0243287,0.007325878,0.01478867,0.007174782,0.006074359,0.008069668,0.01126203,0.005608097,0.006818366,0.0105841,0.005764809,0.03568752,0.01218121,0.009471159,0.0105392,0.01065499,0.01503788,0.009029329,0.03004625,0.01687481,0.006487905,0.02329752,0.00754011,0.004905453,0.004467368,0.01264117,0.004835693,0.00801416,0.01153246,0.0133865,0.004530265,0.01036569,0.008220776,0.005740278,0.008700651,0.01691217,0.01434294,0.006180845,0.00676365,0.01699246,0.008425121,0.01393294
0.003998519,0.007937543,0.008652394,0.009330022,0.007098637,0.00449834,0.008084053,0.0090191,0.01221711,0.01465905,0.01173804,0.009781272,0.01480219,0.006892631,0.008557641,0.01830541,0.009924993,0.01399743,0.004064144,0.005571827,0.01019715,0.004800121,0.006197856,0.006414542,0.009639707,0.0113713,0.01331682,0.01565314,0.005204577,0.009065723,0.008740611,0.00587923,0.007649927,0.0179959,0.01185591,0.006835447,0.01703674,0.0062072,0.004962291,0.003754112,0.005157218,0.003709397,0.007814103,0.007584324,0.007537369,0.003710893,0.006461252,0.005162764,0.004210345,0.007267428,0.01123403,0.02227597,0.006749703,0.004979666,0.007221971,0.007440793,0.007351689
0.005120171,0.008090225,0.01473646,0.01108005,0.012966,0.00575662,0.009198694,0.01037333,0.01409565,0.008901947,0.00475218,0.01572384,0.01322733,0.009578419,0.005535273,0.0182866,0.007822216,0.01375982,0.006129146,0.007445525,0.00940308,0.00922488,0.009203315,0.006079996,0.00981879,0.00863849,0.02219989,0.01899777,0.009778842,0.006656238,0.007001263,0.01472065,0.005578447,0.03272781,0.01527305,0.007814212,0.02198486,0.008008341,0.005927585,0.005303068,0.01370103,0.005055508,0.006587524,0.0120788,0.01182406,0.003540818,0.009890197,0.006356132,0.006452332,0.01015605,0.01148296,0.01499763,0.006381129,0.00558153,0.01545388,0.008827711,0.01813976
0.007141659,0.008074213,0.02219854,0.01237222,0.01314906,0.007041146,0.0140615,0.01148166,0.009808693,0.007416568,0.00576173,0.01414351,0.0163305,0.0113876,0.006197112,0.01647144,0.007020558,0.01634004,0.007496547,0.006336454,0.007426734,0.01322225,0.005790751,0.008299116,0.01059907,0.01031144,0.03232169,0.01138298,0.01408341,0.01221096,0.01016222,0.01577868,0.008136961,0.03404668,0.01564005,0.007123569,0.02315152,0.00954032,0.006190211,0.004723706,0.01392818,0.005610565,0.008705396,0.0164813,0.01329002,0.004562953,0.01254221,0.008469749,0.006121275,0.009631027,0.01593224,0.01144445,0.004287942,0.006390525,0.01382527,0.009153883,0.02084029
0.006627261,0.008049985,0.01385934,0.01053632,0.009563459,0.006883586,0.009233353,0.00837254,0.009219784,0.006400496,0.004431183,0.01203009,0.01901249,0.01009486,0.005909038,0.01479719,0.008552537,0.0140638,0.005684783,0.005923986,0.006598997,0.01047959,0.005765463,0.006971338,0.01216231,0.008884908,0.02146943,0.009190297,0.009671329,0.007133303,0.008354052,0.01038208,0.007849108,0.03194845,0.01320422,0.009412458,0.0187257,0.006913046,0.007000276,0.005195117,0.009135864,0.00556348,0.007432672,0.01223952,0.01163339,0.004163473,0.009424672,0.009142109,0.005946428,0.008186211,0.01532202,0.0143593,0.004127109,0.005838309,0.007414725,0.008242293,0.0176496
0.006703913,0.007729704,0.01562663,0.01290009,0.01268059,0.005957949,0.008063995,0.01067142,0.01688034,0.007777378,0.004571531,0.01699341,0.01771556,0.00994915,0.005207519,0.01525758,0.007393749,0.01559233,0.00671624,0.006717971,0.007107784,0.0110137,0.007554248,0.005548743,0.009819178,0.008614815,0.02591152,0.01537536,0.01279225,0.0055681,0.009570386,0.0135923,0.006683732,0.03490425,0.01515571,0.007540655,0.02221708,0.007727757,0.006863699,0.004919228,0.0148668,0.005477671,0.0034815,0.01358301,0.01206854,0.004247036,0.01204448,0.007305908,0.006486369,0.01019002,0.01381478,0.01714004,0.005171265,0.005703159,0.01546961,0.009189192,0.02006986
0.00690332,0.006702282,0.02415202,0.01239189,0.01411619,0.006470336,0.01776393,0.01158345,0.01041715,0.00920268,0.006665837,0.01467964,0.01083792,0.008855418,0.007198142,0.01915363,0.008062307,0.01576681,0.008352405,0.005990796,0.009763091,0.01144685,0.005213279,0.01273565,0.008708849,0.008259107,0.03464714,0.01000986,0.01438752,0.006696357,0.01075662,0.01676294,0.008291346,0.03331542,0.0119229,0.00646936,0.02512599,0.007679378,0.006432698,0.004436827,0.01664112,0.006090982,0.01032699,0.01190035,0.01325438,0.005085065,0.01245782,0.008977734,0.006364299,0.008423517,0.0191082,0.0110435,0.005791166,0.00527627,0.01592408,0.009806178,0.01734323
0.006878763,0.006873611,0.01847042,0.01120851,0.01166407,0.006129408,0.01497698,0.008729843,0.009309751,0.006250705,0.006207319,0.01324026,0.01160047,0.008345249,0.006689581,0.01706405,0.008912826,0.01478737,0.008403209,0.006244883,0.009197923,0.008660285,0.00503766,0.007633327,0.00973297,0.009673791,0.02036818,0.006782205,0.01097156,0.006316767,0.008981162,0.01403247,0.008028819,0.03247752,0.008251181,0.01080365,0.02047175,0.01004469,0.009765747,0.006494381,0.01172723,0.007277642,0.008132057,0.009194019,0.01255485,0.004784594,0.009642567,0.0103777,0.006755685,0.006159389,0.01864953,0.008788653,0.004965153,0.004886012,0.0113397,0.008870307,0.0158538
0.006434672,0.007424355,0.01646591,0.01259576,0.01393992,0.005681051,0.009458667,0.01020471,0.01453925,0.006573358,0.004455535,0.01770259,0.01362747,0.009190898,0.005856118,0.01865384,0.008330846,0.01429187,0.007417027,0.006820786,0.00848402,0.01121884,0.007037641,0.007400366,0.00863414,0.008601648,0.02491521,0.01480239,0.01282416,0.006680242,0.00647998,0.01510969,0.006353674,0.03601407,0.01527432,0.006863127,0.02324021,0.009112256,0.006388646,0.004316604,0.01751141,0.006110401,0.003995151,0.01152426,0.01252946,0.004513229,0.01123875,0.007642311,0.006727267,0.009852774,0.01620509,0.01567948,0.005576863,0.005605104,0.01711242,0.01007215,0.01931098
0.004075747,0.006711728,0.006578599,0.007618933,0.006044122,0.00431022,0.01052418,0.00430263,0.006548059,0.006236653,0.007137526,0.004122032,0.01467877,0.007168658,0.004530134,0.01448786,0.007248096,0.01533388,0.003932417,0.005805126,0.01016661,0.006161699,0.003544847,0.009476881,0.009895112,0.01133727,0.01317508,0.01050954,0.005455078,0.006993267,0.006936344,0.006908579,0.005706879,0.009816957,0.008265657,0.005387302,0.01505797,0.008458549,0.005248949,0.00403107,0.004454196,0.004233593,0.00535426,0.007297563,0.006396657,0.003513312,0.004816743,0.004348697,0.004497285,0.006250501,0.01371004,0.0107249,0.005430227,0.005042663,0.00589714,0.005549778,0.00912946
