 Subject_1, Subject_2, Subject_3, Subject_4, Subject_5, Subject_6, Subject_7, Subject_8, Subject_9,Subject_10,Subject_11,Subject_12,Subject_13,Subject_14,Subject_15,Subject_16,Subject_17,Subject_18,Subject_19,Subject_20,Subject_21,Subject_22,Subject_23,Subject_24,Subject_25,Subject_26,Subject_27,Subject_28,Subject_29,Subject_30,Subject_31,Subject_32,Subject_33,Subject_34,Subject_35,Subject_36,Subject_37,Subject_38,Subject_39,Subject_40,Subject_41,Subject_42,Subject_43,Subject_44,Subject_45,Subject_46,Subject_47,Subject_48,Subject_49,Subject_50,Subject_51,Subject_52,Subject_53,Subject_54,Subject_55,Subject_56,Subject_57
0.4698049,0.5215222,0.4625341,0.4390768,0.735711,0.4439232,0.4385057,0.5143363,0.4265707,0.3148642,0.5296146,0.5234082,0.7742601,0.6113861,0.5337656,0.4738481,0.4245369,0.5225204,0.3279365,0.6305196,0.494959,0.5208624,0.4961095,0.5174347,0.5259341,0.2118988,0.4417615,0.6104759,0.5436955,0.2326607,0.276864,0.5577124,0.6070843,0.4057591,0.2655763,0.4373731,0.3473694,0.5428359,0.3647595,0.2836246,0.6717925,0.3728072,0.6993746,0.4139979,0.5736284,0.580637,0.2826801,0.4582399,0.4861653,0.5980374,0.7918152,0.5258806,0.5035691,0.7497856,0.4826665,0.5433083,0.5032419
0.7639953,0.8578188,0.6833047,0.7859501,0.9162083,0.7113517,0.7364208,0.7229644,0.7391908,0.4959147,0.794367,0.794521,0.8882377,0.7973959,0.7640548,0.7975489,0.797092,0.8009009,0.7613072,0.8426274,0.7261094,0.6660205,0.832482,0.7391736,0.7500911,0.1251264,0.6166625,0.8440269,0.7797745,0.7652754,0.5260246,0.8542324,0.8601731,0.6518019,0.2466606,0.7669761,0.7152026,0.5659533,0.6890615,0.7542564,0.795397,0.7496471,0.835377,0.7394072,0.7965726,0.8292171,0.6293013,0.7670255,0.7855359,0.7707191,0.8155979,0.5922677,0.7397609,0.7527558,0.6860036,0.7798977,0.8030006
0.4327024,0.555968,0.3712623,0.4191058,0.6001155,0.4696017,0.4288675,0.7864226,0.428522,0.3570031,0.4521868,0.5479424,0.7106038,0.7052038,0.4877988,0.4373016,0.419177,0.4836441,0.3840426,0.7242222,0.5197574,0.4219165,0.5407392,0.1874603,0.6279398,0.5765821,0.4677267,0.683081,0.4390287,0.6011629,0.2311547,0.7211677,0.6551564,0.3067553,0.590925,0.5304583,0.4473,0.9582762,0.4636391,0.3304705,0.6845309,0.3871294,0.1886135,0.4146748,0.5414603,0.4513132,0.2525771,0.3640413,0.4491326,0.6512814,0.6926942,0.593543,0.5469165,0.8139582,0.5732713,0.4062903,0.4594821
0.514989,0.6957787,0.4346246,0.5055002,0.8117313,0.5629385,0.5227192,0.3893906,0.6152804,0.488507,0.5782799,0.6622083,0.746313,0.4976359,0.5648489,0.6532931,0.5022892,0.4873841,0.5205236,0.6554466,0.6295418,0.4695957,0.6781117,0.3429799,0.755024,0.2722166,0.5202438,0.6569382,0.5950459,0.4906679,0.4439499,0.7049921,0.6250365,0.5662543,0.06795616,0.5354211,0.6240038,0.1717963,0.4833444,0.6022698,0.6817741,0.5937464,0.3412361,0.4766677,0.6099762,0.693778,0.5320826,0.578641,0.6322276,0.6313449,0.6718318,0.5525476,0.4940515,0.5205271,0.5280112,0.6913735,0.6146764
0.7375149,0.8559472,0.6914747,0.7663342,0.8715226,0.7732326,0.7114296,0.612032,0.7728468,0.7481494,0.8101844,0.8317622,0.9045018,0.6931571,0.6853051,0.8555633,0.812611,0.7951462,0.8080249,0.8504373,0.8010526,0.6483671,0.8081138,0.7107595,0.9511722,0.08868858,0.7013132,0.8470425,0.8545447,0.07535124,0.7656534,0.874775,0.8383253,0.7879273,0.1598415,0.7887506,0.7850013,0.5508794,0.7684091,0.8465984,0.8064328,0.8297412,0.7220798,0.7539918,0.8498825,0.8297488,0.7554163,0.7720584,0.7895361,0.8019369,0.8206578,0.7901072,0.7890235,0.8011975,0.7025118,0.8464714,0.8271909
0.545046,0.5827066,0.5666868,0.5470538,0.7878019,0.4991359,0.4498074,0.430607,0.5045466,0.4142256,0.6916438,0.6562133,0.8583871,0.6186878,0.5842981,0.5801866,0.5758912,0.5968677,0.390956,0.6080051,0.5069806,0.4859956,0.5753727,0.2643461,0.3827853,0.3118818,0.5926876,0.5267782,0.6604285,0.2485752,0.08616782,0.5391966,0.6407026,0.4597442,0.1154577,0.4552239,0.3739463,0.5429841,0.4605957,0.5257503,0.7153381,0.6224065,0.6395888,0.5073005,0.5986105,0.778877,0.4380312,0.6711714,0.4809739,0.5909914,0.806034,0.3709042,0.4806917,0.7115912,0.4839521,0.5186794,0.4925199
0.6621166,0.7781577,0.6390148,0.6559812,0.8144278,0.5876067,0.4647134,0.5038497,0.6164154,0.5097939,0.6584951,0.6715193,0.8229647,0.7840379,0.6021958,0.6407971,0.6677952,0.6738599,0.6243226,0.7091613,0.6609336,0.5415647,0.7546145,0.7822934,0.3229198,0.2471175,0.5182315,0.6153677,0.6832405,0.6082004,0.1157612,0.7363753,0.7818425,0.4939324,0.1659088,0.5887587,0.5212597,0.5459899,0.5877357,0.6411324,0.7505845,0.8768373,0.9040476,0.7109756,0.6182059,0.7244823,0.5429512,0.6210063,0.6427439,0.6797252,0.7086874,0.435375,0.556183,0.5426776,0.6896041,0.5857841,0.6281525
0.7111785,0.6516335,0.6128233,0.6781973,0.7865203,0.6597565,0.7076782,0.8556218,0.6366984,0.6488461,0.8109268,0.7771697,0.8888289,0.7326894,0.7254221,0.7378452,0.6600782,0.6942031,0.6418024,0.8691543,0.865643,0.6032448,0.7258862,0.04418489,0.7382477,0.7754019,0.6224211,0.7856785,0.7470605,0.7049405,0.8434946,0.8013923,0.8505863,0.647323,0.1105661,0.6637765,0.5442497,0.961235,0.6707374,0.6867015,0.7922085,0.6911484,0.06440398,0.6976243,0.7198435,0.8394735,0.5205455,0.7440079,0.5297945,0.7358421,0.8368315,0.5713339,0.7109279,0.9020939,0.5831267,0.4486973,0.6467411
0.2610119,0.4751205,0.1709833,0.2087667,0.5811558,0.272581,0.1628304,0.1789523,0.3420259,0.1977549,0.2128471,0.3709337,0.5342321,0.47051,0.2343405,0.3035575,0.1769559,0.2749361,0.2113902,0.3875597,0.3041478,0.2252914,0.4892199,0.09075209,0.1976368,0.5147153,0.2850477,0.3698981,0.2868661,0.6482159,0.7286268,0.518118,0.3892104,0.2045418,0.1736107,0.2554187,0.3080994,0.1581023,0.2331521,0.2517374,0.4859201,0.4632965,0.134887,0.2937118,0.338383,0.2825363,0.2271526,0.1290344,0.346259,0.4714961,0.4153091,0.2050327,0.2153572,0.278888,0.5212584,0.3793357,0.287867
0.4279624,0.6313695,0.3369914,0.366019,0.6420214,0.4227478,0.2575546,0.3311021,0.4596854,0.3758341,0.3778073,0.4805433,0.6820319,0.6614291,0.3652531,0.4590984,0.3693026,0.4687376,0.4185853,0.5641562,0.4491594,0.3753493,0.6063843,0.3222785,0.493456,0.198238,0.4791355,0.5902994,0.5145401,0.0761021,0.3892337,0.704383,0.589924,0.2838452,0.3382472,0.4739044,0.4443506,0.5210841,0.4970536,0.4516832,0.6164842,0.5958964,0.4102815,0.521923,0.5459227,0.4311458,0.393077,0.2379166,0.4999504,0.6609876,0.5198713,0.3296758,0.4357437,0.5307292,0.7026144,0.4472588,0.4773113
